Feature,Estimate,Std Error,t-stat,P-Value
Intercept,84353.10617153857,24.236637007716418,2.0490743282084276,0.04047414222803658
MODELED_DURATION,49.66267069461803,95.37139405841499,69.92981521326486,0.0
MIN_YEARS_EXPERIENCE,6669.303963136427,2314.869958300376,-0.5604682156484299,0.5751694178061042
EMPLOYMENT_TYPE_NAME=Full-time (> 32 hours),-1297.411034986767,3025.50738591592,-2.037203671323234,0.04164910671705768
EMPLOYMENT_TYPE_NAME=Part-time (≤ 32 hours),-6163.574754203473,2358.797405092456,35.76106451085071,0.0
